,twitter_name,username,description,link,eng_name,chi_name
0,Sin Chew Daily 星洲日報,SinChewPress,The latest Tweets from Sin Chew Daily 星洲日報(@SinChewPress). Since 1929. Malaysia.,https://twitter.com/sinchewpress?lang=en,Sin Chew Daily,星洲日報
1,南洋商报eNanyang ,nanyangpress,The latest Tweets from 南洋商报eNanyang (@nanyangpress). 马来西亚唯一 ... 欢迎订阅读《南洋商报》电子版！更多详情请浏览https://t.co/wVawbdbyH1. Malaysia.,https://twitter.com/nanyangpress?lang=en,Nanyang Siang Pau ,南洋商報
2,马来西亚中国报,mychinapress,"The latest Tweets from 马来西亚中国报(@mychinapress). 马来西亚第二大华文日报. Malaysia, Kuala Lumpur. ... Malaysia, Kuala Lumpur. chinapress.com.my.",https://twitter.com/mychinapress?lang=en,China Press,中國報
3,Guangming Daily ,Guangming_Daily,Guangming Daily (@Guangming_Daily) · Twitter,https://twitter.com/Guangming_Daily,Guang Ming Daily,光明日報
4,光华网kwongwah ,kwongwah3,"The latest Tweets from 光华网kwongwah (@kwongwah3). 《光华日报》于1910年12月由中国革命先驱 ... 是全球历史最悠久的中文报纸之一。. Penang, Malaysia.",https://twitter.com/kwongwah3?lang=en,Kwong Wah Yit Poh,光華日報
5,东方网OrientalDaily ,ODNMalaysia,"The latest Tweets from 东方网OrientalDaily (@ODNMalaysia). 马来西亚华人社会的眼中，《东方 ... 看到新闻事件真相，真正的人民喉舌。. Kuala Lumpur, Malaysia.",https://twitter.com/odnmalaysia?lang=en,Oriental Daily News,東方日報
6,See Hua Daily News ,seehuadaily,The latest Tweets from See Hua Daily News (@seehuadaily),https://twitter.com/seehuadaily?lang=en,Shi Hua Daily News,詩華日報
7,,,,,Overseas Chinese Daily News,華僑日報
8,Merdeka Daily News ,MerdekaDaily,"The latest Tweets from Merdeka Daily News (@MerdekaDaily): ""Issue 27th April 2019 https://t.co/nrVHAMOh8F""",https://twitter.com/merdekadaily?lang=en,Merdeka Daily News,自由日報
9,Asia Times ,asiatimesonline,"The latest Tweets from Asia Times (@asiatimesonline). Fast, accurate news, commentary and analysis for Asia and the world. Read • Think • Know • Asia. Asia.",https://twitter.com/asiatimesonline?lang=en,Asia Times,亞洲時報
10,Tashny Sukumaran ,tashny,The latest Tweets from Tashny Sukumaran (@tashny). Malaysia corro for the South China Morning Post (@SCMPnews). Founder of @5050malaysia. She/her ...,https://twitter.com/tashny?lang=en,Morning Post,晨報
11,New Straits Times ,NST_Online,"The latest Tweets from New Straits Times (@NST_Online). News, views and up-to-date reports from Malaysia's premier news source. ... #NSTopinion As we progress in the new year, and as the global economy recovers, government efforts to ...",https://twitter.com/nst_online?lang=en,International Times,國際時報
12,Malaysian Daily News ,malaysiandaily,The latest Tweets from Malaysian Daily News (@malaysiandaily). Tweets of ur daily news from local newspaper.Malay & english.Update each hour.,https://twitter.com/malaysiandaily?lang=en,United Daily News,聯合日報
13,Joan Poh ,JoanPohYY,The latest Tweets from Joan Poh (@JoanPohYY). | HERE TO LEARN |. Malaysia.,https://twitter.com/joanpohyy?lang=en,Mun Sang Poh,民生報
14,New Life for Haiti ,NewLifeForHaiti,Your support for New Life for Haiti keeps vulnerable children at risk of being sold into forced labor safe. Thank you for restoring hope in the Grand Anse River ...,https://twitter.com/newlifeforhaiti?lang=en,New Life Post,新生活報
15,The Star ,staronline,The Star (@staronline) · Twitter,https://twitter.com/staronline,The Star,星報
16,New Straits Times ,NST_Online,New Straits Times (@NST_Online) · Twitter,https://twitter.com/NST_Online,New Straits Times,新海峽時報
17,Malay Mail ,malaymail,18 hours ago — The latest Tweets from Malay Mail (@malaymail). Covering local and International news that matter to Malaysians. Malaysia.,https://twitter.com/malaymail?lang=en,The Malay Mail,馬來郵報
18,theSun ,theSundaily,theSun (@theSundaily) · Twitter,https://twitter.com/theSundaily,The Sun,太陽報
19,Daily Express Sabah ,DailyExpress_MY,Daily Express Sabah (@DailyExpress_MY) · Twitter,https://twitter.com/DailyExpress_MY,The Daily Express,每日快報
20,Daily Express Sabah ,DailyExpress_MY,"The latest Tweets from Daily Express Sabah (@DailyExpress_MY). ... of Daily Express Sabah, an independent national newspaper of East Malaysia (Est. 1963). ... only time will tell whether the plan is viable or cancelled by the new Perikatan ...",https://twitter.com/dailyexpress_my?lang=en,New Sabah Times,新沙巴時報
21,Sarawak Tribune ,sarawak_tribune,The latest Tweets from Sarawak Tribune (@sarawak_tribune). New Sarawak Tribune is a Sarawakian news ... Pos Malaysia Berhad @pos4you Jun 22. More.,https://twitter.com/sarawak_tribune?lang=en,Sarawak Tribune,砂拉越論壇報
22,Malaysia Today ,malaysiatoday,The latest Tweets from Malaysia Today (@malaysiatoday). Malaysia News Today! Syndicates news from major news portals into one place. Malaysia.,https://twitter.com/malaysiatoday?lang=en,Malaysian Today,今日大馬
23,BorneoPost Online ,theborneopost,"The Borneo Post is the largest and most read English daily in Borneo. Established 35 years ago on April 24, 1978. Malaysia, Sarawak, Kuching.",https://twitter.com/theborneopost?lang=en,The Borneo Post,婆羅洲郵報
24,The Malaysian Times ,TMalaysianTimes,The latest Tweets from The Malaysian Times (@TMalaysianTimes). The Malaysian Times (TMT) is one of the leading and independent news portals in Malaysia.,https://twitter.com/tmalaysiantimes?lang=en,Eastern Times,東方時報
25,Utusan Malaysia ,UMonline,"The latest Tweets from Utusan Malaysia (@UMonline): ""Katanya, mangsa memperoleh pulangan daripada pelaburan awal dan disebabkan itu dia berminat ...",https://twitter.com/umonline,Utusan Malaysia,马来西亚前锋报
26,Harian Metro ,hmetromy,The latest Tweets from Harian Metro (@hmetromy). Malaysia's No 1 newspaper with 3.7 million readers. Malaysia.,https://twitter.com/hmetromy?lang=en,Harian Metro,大都會日報
27,Berita Harian ,bharianmy,Berita Harian (@bharianmy) · Twitter,https://twitter.com/bharianmy,Berita Harian,每日新聞
28,Kosmo! Online ,kosmo_online,Kosmo! Online (@kosmo_online) · Twitter,https://twitter.com/kosmo_online,Kosmo!,世界報
29,utusanborneo ,utusanborneo,"Utusan Borneo is a Malay language daily newspaper on the island of Borneo. It was launched as a full newspaper in 2001. Sarawak, Malaysia.",https://twitter.com/utusanborneo?lang=en,Utusan Sarawak,砂拉越前鋒報
30,SinarOnline ,SinarOnline,SinarOnline (@SinarOnline) · Twitter,https://twitter.com/SinarOnline,Sinar Harian,阳光日報
31,Sarawak Today ,Sarawak_Today,"The latest Tweets from Sarawak Today (@Sarawak_Today). Memaparkan berita terkini politik, ekonomi, sukan dan kemanusian di Sarawak terus kepada ...",https://twitter.com/sarawak_today?lang=en,Berita Petang Sarawak,砂拉越晚報
32,Melakahariini ,Melakahariini,"Ayer Keroh, Melaka. ... COVID-19 : KANAK-KANAK MALAYSIA ANTARA 42 KES IMPORT DI ... Kami doakan akak akan terus berjaya selepas ini.",https://twitter.com/melakahariini?lang=en,Melaka Hari Ini,今日馬六甲
33,Atos ,Atos,Saved searches. Remove. In this conversation. Verified accountProtected Tweets @. Language: English. Bahasa Indonesia · Bahasa Melayu · Català · Čeština ...,https://twitter.com/atos?lang=en,Mingguan Wasilah,聯繫報星期刊
34,MATAHARI ,leha0903,"The latest Tweets from MATAHARI (@leha0903). Spread love, happiness and positivity. Perak, Malaysia.",https://twitter.com/leha0903,Matahari,太陽
35,MingguanWartaPerdana ,Warta_Perdana,Mingguan Warta Perdana Diterbitkan Semenjak 1988. Sri Gombak. ... Embed Tweet. Surat Khabar No.1 Malaysia : @Warta_Perdana :) 1 reply 1 retweet 0 likes.,https://twitter.com/warta_perdana,Mingguan Warta Perdana,頭條報星期刊
36,Media Tweets by Makkal Osai ,makkal_osai,The Makkal Osai(Tamil: மக்கள் ஓசை;The People's Voice) is a Tamil daily newspaper based in Malaysia.Founded as Tamil Osai on 1981.,https://twitter.com/makkal_osai/media,Makkal Osai,麥卡奧賽
37,Malaysia Nanban ,NanbanMalaysia,The latest Tweets from Malaysia Nanban (@NanbanMalaysia),https://twitter.com/nanbanmalaysia?lang=en,Malaysia Nanban,馬來西亞南班
38,,,,,Tamil Nesan,淡米爾尼申
39,Vanakkam Malaysia ,vmnews,The latest Tweets from Vanakkam Malaysia (@vmnews). Malaysia's Leading Online Tamil News Site https://t.co/KFYcBVqtQj https://t.co/yIc6oDSIBy. Malaysia.,https://twitter.com/vmnews?lang=en,Vanakkam Malaysia,凡立甘馬來西亞
40,The Business Times ,BusinessTimes,"The latest Tweets from The Business Times (@BusinessTimes). Breaking news from The Business Times, Singapore's only financial daily. Subscribe to the ...",https://twitter.com/businesstimes?lang=en,Business Times,商業時報
41,The Edge Malaysia ,theedgemalaysia,"The latest Tweets from The Edge Malaysia (@theedgemalaysia). http://t.co/0CeNjcmC5h - Make better decisions with the latest news, data and financial ...",https://twitter.com/theedgemalaysia,The Edge Daily,財經日報
42,TheMalaysianReserve ,TMReserve,"Malaysia to file WTO lawsuit against EU on Jan 15, says minister #Malaysia ... JUST IN: Malaysia confirms first case of UK virus strain - The Malaysian Reserve ...",https://twitter.com/tmreserve?lang=en,The Malaysia Reserve,馬來西亞儲備報
43,,,,,The Rocket,火箭報
44,Harakahdaily | الحركة ,harakahdailyHD,"The latest Tweets from Harakahdaily | الحركة (@harakahdailyHD). HarakahDaily : Portal media atas talian untuk rakyat Malaysia. Berita Politik, Agama, Nasional, ...",https://twitter.com/harakahdailyhd?lang=en,Harakah Daily,哈拉卡
45,SIASAH.net ,siasah,The latest Tweets from SIASAH.net (@siasah). Wadah Diskusi Ummah. Malaysia.,https://twitter.com/siasah,Siasah,政治報
46,Suara Keadilan ,suarakeadilan99,The latest Tweets from Suara Keadilan (@suarakeadilan99). Media rasmi Parti KEADILAN Rakyat.,https://twitter.com/suarakeadilan99?lang=en,Suara Keadilan,公正之聲
47,Media Selangor ,Media_Selangor,The latest Tweets from Media Selangor (@Media_Selangor). ... selangorkini.my ... #AGENDA Tiada rakyat Malaysia dalam nahas pesawat Sriwijaya Air ...,https://twitter.com/media_selangor?lang=en,SelangorKini,今日雪州
48,BERNAMA ,bernamadotcom,BERNAMA (@bernamadotcom) · Twitter,https://twitter.com/bernamadotcom,BERNAMA,马来西亚国家新闻社
49,malaysiakini.com ,malaysiakini,"Malaysiakini is an award-winning news provider built on fast, accurate and independent ... and well-informed views. Telegram: https://t.co/pEzhNibw3e. Malaysia.",https://twitter.com/malaysiakini?lang=en,Malaysia Kini,當今大馬
50,Media Tweets by 《独立新闻在线》 ,merdekareview,The latest media Tweets from 《独立新闻在线》 (@merdekareview). “观测社稷经纬，点评家国风云”. Malaysia.,https://twitter.com/merdekareview/media?lang=en,Merdeka Review,獨立新聞在线
51,Amnesty International Malaysia ,AmnestyMy,"Amnesty International Malaysia strives for the promotion and protection of human ... “free media”, ""justice” - yellow clothing with the word “Bersih” - the word “bra” ...",https://twitter.com/amnestymy?lang=en,The Freemedia,自由媒體
52,Free Malaysia Today ,fmtoday,The latest Tweets from Free Malaysia Today (@fmtoday). Free and Independent #FMTNews Telegram: https://t.co/Xs6LInzbeK. Malaysia.,https://twitter.com/fmtoday,Malaysia Today,今日大馬
53,SoyaCincau ,Soya_Cincau,"The latest Tweets from SoyaCincau (@Soya_Cincau). Follow for the most refreshing servings of the latest mobile tech news, reviews and analysis in Malaysia.",https://twitter.com/soya_cincau,Cincai News,精彩大马
54,Free Malaysia Today ,fmtoday,14 hours ago — The latest Tweets from Free Malaysia Today (@fmtoday). Free and Independent #FMTNews Telegram: https://t.co/Xs6LInzbeK. Malaysia.,https://twitter.com/fmtoday,Free Malaysia Today,今日自由大马
55,TheMalaysianInsight ,msianinsight,"Telegram: https://t.co/qNILqIBeuX The Malaysian Insight provides unvarnished insight into Malaysia, its politics, economy, personalities and its daily life.",https://twitter.com/msianinsight?lang=en,The Malaysian Insight,透视大马
56,Malaysian Insider ,tm_insider,"Embed Tweet. Please raise a glass, a cheer to the hardworking journalists of Malaysia, including those in @tm_insider for their work to inform you! Tks. 5 replies ...",https://twitter.com/tm_insider?lang=en,The Malaysian Insider,马来西亚局内人
57,Malaysia Gazette ,MalaysiaGazette,Malaysia Gazette (@MalaysiaGazette) · Twitter,https://twitter.com/MalaysiaGazette,Malaysian Gazette,马来西亚公报
58,Jonathan Pinfield ,tweetsbyjp,The latest Tweets from Jonathan Pinfield (@tweetsbyjp). Sport | Radio | Media Production | Comedy | (sometimes at the same time). Speaks fluent Yorkshire ...,https://twitter.com/tweetsbyjp?lang=en,MySuara.net,MySuara
59,Ipsos Malaysia ,IpsosMalaysia,"The latest Tweets from Ipsos Malaysia (@IpsosMalaysia). Ipsos is an innovative, client-focused organization providing research services to 5000+ clients ...",https://twitter.com/ipsosmalaysia?lang=en,The Coverage Malaysia,马来西亚报导
60,Malaysia Airlines ,MAS,"The latest Tweets from Malaysia Airlines (@MAS): ""Following the recent Movement Control Order and interstate travel ban in Malaysia, Malaysia Airlines is ...",https://twitter.com/mas?lang=en,Malaysia Now,现在大马
